OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
Réseau GDS;2017;G;IRIS;675230000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;2999,59;155;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675250000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;161,23;17;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675260000;0,00;0;0,000000;0,00;0;0,000000;1767,23;1;1,000000;650,50;39;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675290000;0,00;0;0,000000;7218,64;2;1,000000;1096,57;2;1,000000;10070,61;437;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675320000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;0,000000;0,00;0,00;0,00;0;0,000000
GRT Gaz;2017;G;IRIS;675380000;0,00;0;0,000000;22923,80;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675390000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;1071,83;64;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675430000;0,00;0;0,000000;6423,44;4;1,000000;1458,55;2;1,000000;4359,27;199;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;675440101;0,00;0;0,000000;0,00;0;0,000000;4612,00;4;1,000000;15424,00;833;0,030000;5412,00;0,90;0,00;0;0,000000
GrDF;2017;G;IRIS;675440102;0,00;0;0,000000;0,00;0;0,000000;6136,00;1;1,000000;9894,00;450;0,000000;3250,00;0,81;0,00;0;0,000000
GrDF;2017;G;IRIS;675440103;0,00;0;0,000000;6189,00;2;1,000000;3421,00;5;1,000000;5659,00;402;0,150000;1782,00;0,78;1056,00;2;1,000000
GrDF;2017;G;IRIS;675440201;0,00;0;0,000000;0,00;0;0,000000;432,00;1;1,000000;639,00;34;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;675440202;0,00;0;0,000000;2351,00;4;1,000000;1336,00;4;1,000000;6129,00;269;0,000000;0,00;0,00;423,00;1;1,000000
GrDF;2017;G;IRIS;675449999;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;3,00;15;0,000000;0,00;0,00;0,00;0;0,000000
GRT Gaz;2017;G;IRIS;675440202;0,00;0;0,000000;72781,11;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;0,00;0;0,000000
